id,firstName,lastName,secondLastName,birthDate,gender,email,createdAt,updatedAt,phone,location,role,password
58,lucia,Betancor,Martin,1996-12-28,male,jybm@gdde.com,2024-03-04 16:29:48,2024-03-04 16:29:48,928445662,las Palmas,student,
60,lucia,Betancor,Martin,1996-12-28,male,jybm@gddade.com,2024-03-04 16:29:56,2024-03-04 16:29:56,928445662,las Palmas,student,
61,Alexandra,M,H,1996-12-28,male,jybm2@32.com,2024-03-05 10:12:39,2024-03-05 10:12:39,928445662,las Palmas,teacher,
63,Alexandra2,M,H,1996-12-28,male,jybm2@323222.com,2024-03-05 10:16:40,2024-03-05 10:16:40,928445662,las Palmas,student,
64,Alexandra3232,M,H,1996-12-28,male,jybm2@332322.com,2024-03-05 10:17:06,2024-03-05 10:17:06,928445662,las Palmas,student,
67,Alexandra3232,M,H,1996-12-28,male,jybm2@gmail.com,2024-03-05 11:23:40,2024-03-05 11:23:40,928445662,las Palmas,student,
68,Musa,M,H,1996-12-28,male,musa@gmail.com,2024-03-05 15:09:44,2024-03-05 15:09:44,928445662,las Palmas,teacher,
71,Musa2,M,H,1996-10-28,male,musa2@gmail.com,2024-03-05 16:06:59,2024-03-05 16:06:59,928445662,las Palmas,student,$2b$10$rHWJbUS2VhtxU9KVpDA7T.DIBkUrH7H47c4M3P28P.QnQTfgNpmA6
72,Musa4,M,H,1996-10-28,male,musa43@gmail.com,2024-03-06 09:40:31,2024-03-06 09:40:31,928445662,las Palmas,student,$2b$10$oPMcHg2vFwELqt.gjyPI7eFGR7nyc2.dr7hbeujLSQARJ/nXT6KiG
73,Musa4,M,H,1996-10-28,male,musa42323253@gmail.com,2024-03-06 13:45:47,2024-03-06 14:09:28,928445662,las Palmas,teacher,$2b$10$jdMqJcXGNHGHFLXuzfiRReS7CBXhBGoqcHbaQVXIGoCbu.RaCAer.
74,Juan222,M3232,H3232,1996-10-28,male,musa4232dsds3323253@gmail.com,2024-03-06 14:17:03,2024-03-06 14:21:12,928445662,las Palmas,teacher,$2b$10$lVMewCm6QOzfn2qmAzsWm./UesDMQtTx5COq./iBuZyA0RUzD2vZu
75,Juan,M,H,1996-10-28,male,musa45332dsds32@gmail.com,2024-03-06 14:34:35,2024-03-06 14:34:35,928445662,las Palmas,student,$2b$10$L9Llhf6X8o9SzC0PaoEI2.GVqJqxdDN5/tCBEmr.VzfE24EXBhNlm
76,Juan,M,H,1996-10-28,male,musa45332dsds3ewewe2@gmail.com,2024-03-06 14:34:44,2024-03-06 14:34:44,928445662,las Palmas,teacher,$2b$10$GqEBl.iVBSKqr8CwsRGfu.5Dor.2pPGBcnTqO2VWZ7QWay1FfioDe
